data,suma
2022-04-06,6878000
2022-04-07,7091000
2022-04-08,6942000
2022-04-09,6375000
2022-04-10,4595000
2022-04-11,6537000
2022-04-12,6951000
2022-04-13,7058000
2022-04-14,7264000
2022-04-15,5763000
2022-04-16,6005000
2022-04-17,4261000
2022-04-18,4475000
2022-04-19,7131000
2022-04-20,7763000
2022-04-21,7875000
2022-04-22,7715000
2022-04-23,6541000
2022-04-24,4572000
2022-04-25,7203000
2022-04-26,7837000
2022-04-27,7903000
2022-04-28,8128000
2022-04-29,7997000
2022-04-30,6675000
2022-05-01,4942000
2022-05-02,4896000
2022-05-03,7618000
2022-05-04,7988000
2022-05-05,8233000
2022-05-06,8059000
2022-05-07,6627000
2022-05-08,4908000
2022-05-09,7405000
2022-05-10,7924000
2022-05-11,7920000
2022-05-12,8296000
2022-05-13,8087000
2022-05-14,6865000
2022-05-15,4608000
2022-05-16,7427000
2022-05-17,8049000
2022-05-18,8134000
2022-05-19,8283000
2022-05-20,8010000
2022-05-21,6875000
2022-05-22,5075000
2022-05-23,7385000
2022-05-24,8103000
2022-05-25,8237000
2022-05-26,8415000
2022-05-27,8364000
2022-05-28,6948000
2022-05-29,5024000
2022-05-30,6830000
2022-05-31,7327000
2022-06-01,7739000
2022-06-02,6291000
2022-06-03,6092000
2022-06-04,6088000
2022-06-05,4405000
2022-06-06,5962000
2022-06-07,7736000
2022-06-08,8070000
2022-06-09,8300000
2022-06-10,8161000
2022-06-11,6852000
2022-06-12,5020000
2022-06-13,7641000
2022-06-14,8147000
2022-06-15,8286000
2022-06-16,8383000
2022-06-17,8145000
2022-06-18,6883000
2022-06-19,5038000
2022-06-20,7728000
2022-06-21,5697000
2022-06-22,7314000
2022-06-23,7066000
2022-06-24,8094000
2022-06-25,6828000
2022-06-26,5122000
2022-06-27,7572000
2022-06-28,8266000
2022-06-29,8408000
2022-06-30,8570000
2022-07-01,8507000
2022-07-02,7265000
2022-07-03,5184000
2022-07-04,7642000
2022-07-05,8120000
2022-07-06,8266000
2022-07-07,8370000
2022-07-08,8149000
2022-07-09,6947000
2022-07-10,5165000
2022-07-11,7304000
2022-07-12,7756000
2022-07-13,7902000
2022-07-14,8163000
2022-07-15,7951000
2022-07-16,6795000
2022-07-17,4833000
2022-07-18,6033000
2022-07-19,5771000
2022-07-20,7696000
2022-07-21,7832000
2022-07-22,7482000
2022-07-23,6630000
2022-07-24,4927000
2022-07-25,6844000
2022-07-26,7443000
2022-07-27,7040000
2022-07-28,7691000
2022-07-29,7540000
2022-07-30,6797000
2022-07-31,4900000
2022-08-01,6773000
2022-08-02,7246000
2022-08-03,7331000
2022-08-04,7480000
2022-08-05,7339000
2022-08-06,6683000
2022-08-07,4921000
2022-08-08,6699000
2022-08-09,7157000
2022-08-10,7228000
2022-08-11,7183000
2022-08-12,6322000
2022-08-13,6303000
2022-08-14,4674000
2022-08-15,6575000
2022-08-16,7169000
2022-08-17,7288000
2022-08-18,6973000
2022-08-19,4888000
2022-08-20,5947000
2022-08-21,4787000
2022-08-22,6634000
2022-08-23,7159000
2022-08-24,7250000
2022-08-25,7087000
2022-08-26,7215000
2022-08-27,6590000
2022-08-28,4989000
2022-08-29,4887000
2022-08-30,7039000
2022-08-31,7384000
2022-09-01,7412000
2022-09-02,7388000
2022-09-03,6784000
2022-09-04,4769000
2022-09-05,7274000
2022-09-06,7855000
2022-09-07,8188000
2022-09-08,8235000
2022-09-09,7992000
2022-09-10,6769000
2022-09-11,5018000
2022-09-12,7775000
2022-09-13,8345000
2022-09-14,8527000
2022-09-15,8385000
2022-09-16,8526000
2022-09-17,7136000
2022-09-18,5416000
2022-09-19,3334000
2022-09-20,8502000
2022-09-21,8590000
2022-09-22,8842000
2022-09-23,8520000
2022-09-24,7313000
2022-09-25,5123000
2022-09-26,8001000
2022-09-27,8492000
2022-09-28,8769000
2022-09-29,8936000
2022-09-30,8693000
2022-10-01,7649000
2022-10-02,5295000
2022-10-03,8130000
2022-10-04,8634000
2022-10-05,8159000
2022-10-06,9027000
2022-10-07,8957000
2022-10-08,7521000
2022-10-09,5534000
2022-10-10,8205000
2022-10-11,8819000
2022-10-12,8869000
2022-10-13,8962000
2022-10-14,8760000
2022-10-15,7575000
2022-10-16,5213000
2022-10-17,8041000
2022-10-18,8672000
2022-10-19,8697000
2022-10-20,8745000
2022-10-21,8443000
2022-10-22,7330000
2022-10-23,4885000
2022-10-24,7529000
2022-10-25,8051000
2022-10-26,8224000
2022-10-27,8371000
2022-10-28,8259000
2022-10-29,7603000
2022-10-30,5301000
2022-10-31,8077000
2022-11-01,8557000
2022-11-02,8873000
2022-11-03,8637000
2022-11-04,8762000
2022-11-05,7079000
2022-11-06,4799000
2022-11-07,7812000
2022-11-08,8682000
2022-11-09,8646000
2022-11-10,6361000
2022-11-11,8792000
2022-11-12,7786000
2022-11-13,5277000
2022-11-14,8174000
2022-11-15,8648000
2022-11-16,8962000
2022-11-17,9104000
2022-11-18,8980000
2022-11-19,7705000
2022-11-20,5287000
2022-11-21,7927000
2022-11-22,8654000
2022-11-23,8791000
2022-11-24,8999000
2022-11-25,8882000
2022-11-26,7412000
2022-11-27,5164000
2022-11-28,8156000
2022-11-29,8689000
2022-11-30,8846000
2022-12-01,9037000
2022-12-02,8954000
2022-12-03,7696000
2022-12-04,5399000
2022-12-05,8241000
2022-12-06,8970000
2022-12-07,9134000
2022-12-08,9296000
2022-12-09,8885000
2022-12-10,7481000
2022-12-11,5218000
2022-12-12,7374000
2022-12-13,7795000
2022-12-14,8002000
2022-12-15,8549000
2022-12-16,8163000
2022-12-17,6804000
2022-12-18,4724000
2022-12-19,7248000
2022-12-20,7834000
2022-12-21,7543000
2022-12-22,7192000
2022-12-23,6722000
2022-12-24,4754000
2022-12-25,1000
2022-12-26,3871000
2022-12-27,4875000
2022-12-28,5772000
2022-12-29,6602000
2022-12-30,6551000
2022-12-31,6105000
