data,suma
2020-07-04,2588000
2020-07-05,1939000
2020-07-06,3053000
2020-07-07,3110000
2020-07-08,3045000
2020-07-09,3109000
2020-07-10,3373000
2020-07-11,2969000
2020-07-12,2117000
2020-07-13,3289000
2020-07-14,3322000
2020-07-15,3352000
2020-07-16,3428000
2020-07-17,3677000
2020-07-18,3166000
2020-07-19,2091000
2020-07-20,3384000
2020-07-21,3429000
2020-07-22,3468000
2020-07-23,3496000
2020-07-24,3716000
2020-07-25,3085000
2020-07-26,2330000
2020-07-27,3385000
2020-07-28,3642000
2020-07-29,3679000
2020-07-30,3710000
2020-07-31,3800000
2020-08-01,3368000
2020-08-02,2449000
2020-08-03,3645000
2020-08-04,3749000
2020-08-05,3833000
2020-08-06,3756000
2020-08-07,3792000
2020-08-08,3321000
2020-08-09,2426000
2020-08-10,3684000
2020-08-11,3731000
2020-08-12,3747000
2020-08-13,3723000
2020-08-14,3887000
2020-08-15,3396000
2020-08-16,2443000
2020-08-17,3849000
2020-08-18,4036000
2020-08-19,3879000
2020-08-20,4210000
2020-08-21,4152000
2020-08-22,3731000
2020-08-23,2638000
2020-08-24,4117000
2020-08-25,4134000
2020-08-26,4485000
2020-08-27,4117000
2020-08-28,4390000
2020-08-29,3851000
2020-08-30,2929000
2020-08-31,3370000
2020-09-01,4390000
2020-09-02,4511000
2020-09-03,4603000
2020-09-04,4935000
2020-09-05,4076000
2020-09-06,2872000
2020-09-07,4850000
2020-09-08,5025000
2020-09-09,5089000
2020-09-10,5189000
2020-09-11,5344000
2020-09-12,4121000
2020-09-13,2981000
2020-09-14,5012000
2020-09-15,5132000
2020-09-16,5202000
2020-09-17,5242000
2020-09-18,5411000
2020-09-19,4161000
2020-09-20,2921000
2020-09-21,5012000
2020-09-22,5190000
2020-09-23,5092000
2020-09-24,5133000
2020-09-25,5340000
2020-09-26,4127000
2020-09-27,2761000
2020-09-28,4988000
2020-09-29,5123000
2020-09-30,5183000
2020-10-01,5245000
2020-10-02,5078000
2020-10-03,3943000
2020-10-04,2638000
2020-10-05,5037000
2020-10-06,5132000
2020-10-07,5249000
2020-10-08,5173000
2020-10-09,5394000
2020-10-10,4247000
2020-10-11,2992000
2020-10-12,4996000
2020-10-13,5139000
2020-10-14,5257000
2020-10-15,5291000
2020-10-16,5492000
2020-10-17,3922000
2020-10-18,2777000
2020-10-19,4817000
2020-10-20,4936000
2020-10-21,4777000
2020-10-22,5050000
2020-10-23,5069000
2020-10-24,3911000
2020-10-25,2895000
2020-10-26,4354000
2020-10-27,4307000
2020-10-28,4506000
2020-10-29,4377000
2020-10-30,4787000
2020-10-31,3924000
2020-11-01,2922000
2020-11-02,5191000
2020-11-03,5598000
2020-11-04,5898000
2020-11-05,3951000
2020-11-06,3945000
2020-11-07,2376000
2020-11-08,1616000
2020-11-09,3982000
2020-11-10,4065000
2020-11-11,4033000
2020-11-12,4089000
2020-11-13,4113000
2020-11-14,2351000
2020-11-15,1714000
2020-11-16,4009000
2020-11-17,4069000
2020-11-18,4071000
2020-11-19,4050000
2020-11-20,4090000
2020-11-21,2614000
2020-11-22,1851000
2020-11-23,4043000
2020-11-24,4124000
2020-11-25,4083000
2020-11-26,4147000
2020-11-27,4178000
2020-11-28,2719000
2020-11-29,1831000
2020-11-30,4136000
2020-12-01,4343000
2020-12-02,4988000
2020-12-03,4967000
2020-12-04,5361000
2020-12-05,4310000
2020-12-06,2871000
2020-12-07,4953000
2020-12-08,5125000
2020-12-09,5175000
2020-12-10,5213000
2020-12-11,5431000
2020-12-12,4350000
2020-12-13,2825000
2020-12-14,4981000
2020-12-15,5393000
2020-12-16,4541000
2020-12-17,4555000
2020-12-18,4313000
2020-12-19,3431000
2020-12-20,1853000
2020-12-21,2945000
2020-12-22,2970000
2020-12-23,2939000
2020-12-24,2486000
2020-12-25,0
2020-12-26,1227000
2020-12-27,1419000
2020-12-28,1695000
2020-12-29,2349000
2020-12-30,2431000
2020-12-31,2303000
