data,TX,RR
2021-06-06,233.0,0.0
2021-06-07,247.0,0.0
2021-06-08,263.0,0.0
2021-06-09,247.0,0.0
2021-06-10,256.0,0.0
2021-06-11,246.0,0.0
2021-06-12,280.0,0.0
2021-06-13,288.0,0.0
2021-06-14,266.0,0.0
2021-06-15,292.0,0.0
2021-06-16,214.0,42.0
2021-06-17,143.0,194.0
2021-06-18,164.0,158.0
2021-06-19,184.0,2.0
2021-06-20,143.0,12.0
2021-06-21,180.0,32.0
2021-06-22,223.0,0.0
2021-06-23,203.0,0.0
2021-06-24,230.0,2.0
2021-06-25,236.0,0.0
2021-06-26,205.0,0.0
2021-06-27,202.0,334.0
2021-06-28,195.0,2.0
2021-06-29,187.0,28.0
2021-06-30,224.0,0.0
2021-07-01,245.0,0.0
2021-07-02,224.0,6.0
2021-07-03,217.0,42.0
2021-07-04,217.0,22.0
2021-07-05,208.0,142.0
2021-07-06,213.0,26.0
2021-07-07,217.0,0.0
2021-07-08,247.0,12.0
2021-07-09,195.0,0.0
2021-07-10,215.0,6.0
2021-07-11,220.0,26.0
2021-07-12,225.0,58.0
2021-07-13,252.0,0.0
2021-07-14,221.0,0.0
2021-07-15,268.0,0.0
2021-07-16,284.0,0.0
2021-07-17,316.0,0.0
2021-07-18,314.0,0.0
2021-07-19,322.0,0.0
2021-07-20,304.0,0.0
2021-07-21,298.0,0.0
2021-07-22,255.0,0.0
2021-07-23,234.0,2.0
2021-07-24,215.0,0.0
2021-07-25,261.0,70.0
2021-07-26,221.0,0.0
2021-07-27,221.0,16.0
2021-07-28,233.0,106.0
2021-07-29,194.0,18.0
2021-07-30,217.0,14.0
2021-07-31,219.0,46.0
2021-08-01,208.0,0.0
2021-08-02,238.0,0.0
2021-08-03,239.0,0.0
2021-08-04,220.0,0.0
2021-08-05,238.0,22.0
2021-08-06,213.0,122.0
2021-08-07,207.0,52.0
2021-08-08,230.0,64.0
2021-08-09,241.0,122.0
2021-08-10,245.0,0.0
2021-08-11,225.0,2.0
2021-08-12,229.0,0.0
2021-08-13,253.0,0.0
2021-08-14,243.0,0.0
2021-08-15,188.0,0.0
2021-08-16,186.0,0.0
2021-08-17,241.0,6.0
2021-08-18,217.0,0.0
2021-08-19,216.0,6.0
2021-08-20,211.0,0.0
2021-08-21,231.0,26.0
2021-08-22,220.0,0.0
2021-08-23,240.0,0.0
2021-08-24,223.0,0.0
2021-08-25,187.0,0.0
2021-08-26,197.0,0.0
2021-08-27,209.0,0.0
2021-08-28,199.0,0.0
2021-08-29,171.0,0.0
2021-08-30,189.0,0.0
2021-08-31,187.0,0.0
2021-09-01,202.0,0.0
2021-09-02,224.0,0.0
2021-09-03,201.0,0.0
2021-09-04,264.0,0.0
2021-09-05,283.0,0.0
2021-09-06,302.0,0.0
2021-09-07,303.0,0.0
2021-09-08,239.0,26.0
2021-09-09,226.0,2.0
2021-09-10,240.0,18.0
2021-09-11,208.0,0.0
2021-09-12,218.0,0.0
2021-09-13,210.0,82.0
2021-09-14,223.0,60.0
2021-09-15,237.0,0.0
2021-09-16,221.0,0.0
2021-09-17,252.0,0.0
2021-09-18,182.0,0.0
2021-09-19,205.0,38.0
2021-09-20,222.0,0.0
2021-09-21,230.0,0.0
2021-09-22,243.0,0.0
2021-09-23,246.0,0.0
2021-09-24,184.0,0.0
2021-09-25,234.0,0.0
2021-09-26,191.0,56.0
2021-09-27,189.0,4.0
2021-09-28,167.0,166.0
2021-09-29,165.0,8.0
2021-09-30,186.0,64.0
2021-10-01,152.0,0.0
2021-10-02,180.0,176.0
2021-10-03,181.0,26.0
2021-10-04,154.0,120.0
2021-10-05,176.0,0.0
2021-10-06,181.0,0.0
2021-10-07,177.0,2.0
2021-10-08,191.0,2.0
2021-10-09,189.0,0.0
2021-10-10,161.0,0.0
2021-10-11,168.0,0.0
2021-10-12,162.0,0.0
2021-10-13,193.0,0.0
2021-10-14,150.0,0.0
2021-10-15,177.0,8.0
2021-10-16,179.0,0.0
2021-10-17,183.0,2.0
2021-10-18,209.0,14.0
2021-10-19,191.0,184.0
2021-10-20,124.0,198.0
2021-10-21,147.0,0.0
2021-10-22,139.0,0.0
2021-10-23,157.0,0.0
2021-10-24,177.0,6.0
2021-10-25,171.0,4.0
2021-10-26,176.0,0.0
2021-10-27,154.0,0.0
2021-10-28,156.0,24.0
2021-10-29,156.0,30.0
2021-10-30,158.0,62.0
2021-10-31,149.0,18.0
2021-11-01,131.0,2.0
2021-11-02,105.0,0.0
2021-11-03,101.0,4.0
2021-11-04,111.0,0.0
2021-11-05,132.0,0.0
2021-11-06,130.0,0.0
2021-11-07,126.0,0.0
2021-11-08,165.0,0.0
2021-11-09,136.0,0.0
2021-11-10,155.0,6.0
2021-11-11,152.0,2.0
2021-11-12,128.0,8.0
2021-11-13,131.0,0.0
2021-11-14,120.0,0.0
2021-11-15,114.0,0.0
2021-11-16,127.0,2.0
2021-11-17,138.0,0.0
2021-11-18,120.0,0.0
2021-11-19,108.0,0.0
2021-11-20,86.0,0.0
2021-11-21,100.0,0.0
2021-11-22,102.0,0.0
2021-11-23,74.0,2.0
2021-11-24,74.0,0.0
2021-11-25,94.0,0.0
2021-11-26,51.0,62.0
2021-11-27,43.0,10.0
2021-11-28,97.0,0.0
2021-11-29,120.0,0.0
2021-11-30,101.0,4.0
2021-12-01,66.0,4.0
2021-12-02,95.0,6.0
2021-12-03,84.0,22.0
2021-12-04,67.0,34.0
2021-12-05,79.0,2.0
2021-12-06,82.0,16.0
2021-12-07,83.0,74.0
2021-12-08,91.0,0.0
2021-12-09,79.0,84.0
2021-12-10,126.0,42.0
2021-12-11,142.0,16.0
2021-12-12,116.0,2.0
2021-12-13,132.0,0.0
2021-12-14,131.0,0.0
2021-12-15,119.0,0.0
2021-12-16,96.0,0.0
2021-12-17,91.0,0.0
2021-12-18,65.0,0.0
2021-12-19,71.0,0.0
2021-12-20,63.0,0.0
2021-12-21,74.0,2.0
2021-12-22,113.0,2.0
2021-12-23,105.0,0.0
2021-12-24,79.0,134.0
2021-12-25,97.0,174.0
2021-12-26,112.0,2.0
2021-12-27,118.0,50.0
2021-12-28,153.0,12.0
2021-12-29,150.0,8.0
2021-12-30,153.0,26.0
2021-12-31,157.0,0.0
